Crop,N,P,K,Temperature,Humidity,pH,Rainfall,Yield
N/A,,67,,,,,,
unknown,48,60,,,,,204,
millet,,,65,35.1,75.2,,,
N/A,120,,,22.1,84.8,,,
sugarcane,,,,26.5,45.0,,,3559.4
millet,128,,31,,94.2,,,2340.1
,,,,,,5.1,,
maize,,,,26.7,70.1,,,
groundnut,,,,,,,,
N/A,,,37,,,6.9,212,
sugarcane,,,61,,41.1,,,unknown
cotton,,,,,,7.0,201,
maize,44,,56,18.1,,,154,
millet,46,,,,47.2,,,unknown
groundnut,63,,,,,,,unknown
groundnut,,24,,,,,186,
unknown,,73,29,,69.7,7.8,,
unknown,,,37,23.1,56.1,,,unknown
sugarcane,,,67,,35.0,,,
rice,,,,,,,,unknown
millet,,,,,99.3,5.8,230,
millet,,,,,90.6,,,
groundnut,,,,20.3,,,,
sugarcane,,,34,23.8,50.8,4.8,,
cotton,,41,,28.9,,,,
groundnut,,,,,,7.2,100,
sugarcane,100,,58,,51.7,,,4577.8
millet,,62,54,,,,,unknown
N/A,98,,21,,36.6,,255,
,,,50,,,7.8,,
soybean,,,79,,,,,
maize,77,,,23.7,,,,
soybean,102,29,,,,,,
soybean,,,,27.6,45.8,,158,
banana,120,21,42,,61.6,,,5156.1
maize,,,,31.0,,,261,
soybean,,,,38.1,,,224,3252.7
barley,,,,25.8,,5.1,,
,,,,25.0,,4.9,,
cotton,96,,,,,,260,2150.7
banana,,,,31.2,,,,
millet,,,,,89.9,,,
N/A,96,,,39.2,,,164,
banana,,32,,,,,,unknown
N/A,106,41,,,87.7,,,3731.6
cotton,,,,17.3,,4.6,,unknown
rice,88,,,,,8.3,,unknown
groundnut,47,,,,,,,unknown
wheat,106,,,,,,,unknown
millet,99,65,55,,51.2,,153,2918.1
barley,,74,,37.8,,8.1,,
,,,45,22.4,80.3,,,
wheat,,,,,,,,3449.1
rice,,,31,,82.2,5.4,118,unknown
groundnut,,59,32,,62.5,5.0,,
groundnut,,60,,,,,,unknown
barley,,50,,,75.8,,282,3467.8
N/A,,69,,,,,,unknown
sugarcane,,31,46,23.5,,,,
soybean,,50,34,17.9,,,204,unknown
sugarcane,,35,,,,5.0,,4714.8
cotton,,,,,34.7,,,3015.2
maize,,65,,22.4,31.4,,226,
cotton,,,,15.8,,8.4,,2348.9
sugarcane,40,,66,34.4,,6.6,,4185.5
banana,62,,48,31.1,,,,unknown
unknown,53,47,59,,,,,4052.1
cotton,,,,26.4,95.1,,,3004.9
wheat,93,52,,,,5.8,,
sugarcane,,,29,21.8,73.8,7.4,118,unknown
sugarcane,,,,35.0,,,,
,104,,,,,,246,
unknown,,,,,38.7,,,2537.6
banana,126,,,38.7,,,,2942.5
unknown,,,24,,,,,
cotton,43,,21,,,5.8,,1961.6
soybean,,,33,27.4,64.5,,,2708.3
wheat,,,36,21.8,42.8,,,
maize,,,,29.5,,,,
maize,95,56,,,,,118,unknown
rice,120,59,,38.3,90.1,7.2,,unknown
sugarcane,,,,,42.7,,76,unknown
N/A,,,78,36.0,30.1,,,
millet,,,,,,,,
wheat,79,,,,42.7,,,unknown
banana,,,73,,,,,3640.4
unknown,,68,,,70.6,,,
groundnut,,,24,,,,,
sugarcane,100,,78,,,4.7,,
soybean,,,31,,89.5,,,3504.1
cotton,77,,43,26.9,86.6,,140,
soybean,,59,,36.7,,8.4,227,
cotton,,,40,25.7,68.0,,81,
wheat,,,,37.6,90.2,,,
,98,20,,,95.7,8.3,,
wheat,,43,53,,56.8,5.5,,
rice,,77,,37.8,,,169,
groundnut,,36,,,67.5,,,
,129,,37,,,,,3317.9
maize,,,41,,,5.1,,unknown
sugarcane,,,39,35.2,,,,
barley,,51,,,,,,3471.6
wheat,,56,52,,,,,
barley,,,,21.8,45.8,,235,
sugarcane,95,,,35.7,91.3,,,
banana,66,,51,,66.2,,,unknown
groundnut,,65,39,,76.3,5.6,257,
,115,,,33.6,,,,
banana,,,,,,,234,unknown
millet,,,23,,83.6,,,
cotton,,22,,30.2,,,,
barley,46,,,,,,256,
banana,,,,,,5.6,,3818.0
barley,,55,35,,,8.3,,unknown
banana,49,60,,,,,256,unknown
rice,,,,,,5.3,70,
cotton,,,,,,,88,2546.3
N/A,,,,17.0,,5.6,,2018.3
wheat,73,27,35,,,,,
N/A,,,,32.4,53.3,,282,
cotton,,,,,,,63,unknown
,,,,26.3,81.7,,,
groundnut,,74,,,62.9,,,2242.1
soybean,72,,,,,7.9,,unknown
unknown,,,,15.8,,7.7,,1734.7
groundnut,43,,,,,,,unknown
soybean,103,,,16.2,,6.3,,
barley,,35,,33.8,34.0,,284,unknown
rice,,,,,,,,
sugarcane,74,,,23.5,97.1,8.0,,
maize,,29,,21.4,,8.4,,unknown
barley,,,,,79.9,,,
groundnut,40,,76,,87.3,,111,unknown
wheat,,,43,,,6.5,,2413.1
rice,,,31,,,7.0,,4191.8
unknown,,,,,,7.3,,
maize,52,39,,,,,95,unknown
maize,97,20,40,,,,,
millet,,,,,58.3,,94,
cotton,126,,,,,,240,2761.6
wheat,,,,,,,,
maize,90,,,,32.9,7.4,231,
N/A,,,,,,5.4,,
groundnut,,,,15.9,31.5,,,1943.5
soybean,,49,73,,76.1,,292,2697.8
N/A,48,,21,21.1,,,,unknown
banana,83,,,,48.6,,,
rice,71,,54,,44.6,8.5,,unknown
groundnut,83,28,58,21.4,67.7,7.4,,
N/A,80,,,,54.7,,,2579.6
,65,,,26.3,,,238,
N/A,,,,16.9,53.9,6.3,,
wheat,60,73,,,,6.9,,3020.1
,,,,,,7.4,,2268.3
millet,,,,,,,,2216.4
,,,,33.4,,,56,unknown
millet,,,,,,6.3,,
wheat,63,,,,,,,
maize,123,48,,,,,91,
soybean,,,,,33.9,6.0,,
barley,93,,,,,,262,
N/A,,54,,36.5,61.4,,,
soybean,47,,,,,7.4,,3652.7
soybean,,27,,,,5.3,,unknown
N/A,,41,,,,,185,unknown
soybean,102,71,,33.3,40.7,6.8,105,unknown
soybean,118,,,,45.0,5.9,,
banana,65,,,29.1,67.3,,197,unknown
maize,,,36,,,6.4,,unknown
banana,52,56,,,,,,
wheat,,27,69,,,,210,unknown
millet,48,,69,,,,141,unknown
groundnut,123,20,,,,,57,
unknown,76,,66,,,7.4,129,
unknown,,,61,,99.2,5.5,213,unknown
millet,,76,75,,,8.4,,
cotton,,,,,,,,3083.7
wheat,,,,,31.4,7.7,,2529.2
,,,21,,40.2,,,
millet,53,,65,26.8,,7.3,275,
N/A,116,,,32.0,,,,
wheat,65,,,,78.8,,70,
cotton,107,,21,30.3,,5.7,,
rice,81,,,,,,,
banana,44,78,50,,,,110,
maize,,25,58,33.1,,,,
sugarcane,,,,,,5.7,215,
unknown,,,43,,,,111,unknown
millet,,50,43,21.5,,6.0,,3408.0
soybean,,43,,,,,,unknown
soybean,,,67,,,,,
barley,,54,,,,,71,unknown
banana,110,,50,,,,,unknown
cotton,,,,23.5,76.9,6.4,,2471.4
unknown,78,,75,30.9,,,,
cotton,,,,28.7,,,,
unknown,,,,,,,,unknown
millet,,,58,,92.7,4.6,,unknown
,,,50,36.1,68.5,,,
banana,,67,28,,,5.5,206,
cotton,,20,,,43.1,,,
wheat,,,,,97.1,7.4,,2903.7
cotton,,,,,,,,2738.0
maize,,,,37.4,95.8,,,
millet,,,32,21.7,,4.6,141,2601.9
,,38,,28.3,,,261,
soybean,,,,31.3,,,,
cotton,104,80,,17.2,40.3,,,3103.8
unknown,55,34,,,96.6,5.5,274,3998.7
cotton,,,58,,85.7,,,
wheat,,,,,,,257,2674.7
soybean,,,,,50.0,,205,
sugarcane,70,,,,,,,unknown
barley,,,,31.8,,,197,
groundnut,,,21,16.1,59.7,4.7,177,1975.4
sugarcane,,,,,,,,unknown
rice,,,,25.8,,6.0,,unknown
,129,70,,,61.7,,145,unknown
,,,,,,5.9,,
rice,57,32,21,24.1,65.4,,,
unknown,126,73,,,,4.7,,2972.0
unknown,,,75,,63.3,,,
millet,45,,,,70.1,,,unknown
millet,,53,,19.8,,,,
maize,,,55,19.3,,7.8,255,2626.8
millet,41,,,,40.3,,,
barley,,,,37.2,,,,
,,,,,38.3,,,
millet,110,,,,41.7,7.1,,unknown
banana,,,,20.2,,7.4,,unknown
wheat,,27,,22.8,45.1,,,unknown
N/A,,80,,,,,193,
N/A,123,21,,,61.1,,,
N/A,43,,71,,,,,2739.9
unknown,100,78,,,,,,unknown
banana,67,,54,38.9,,,,4751.9
unknown,78,,44,,,6.3,,unknown
groundnut,,,,,,,,
rice,,51,,35.5,,,,
maize,,,77,33.2,33.1,,83,unknown
barley,,,49,,64.5,,,2743.5
soybean,,,,,,,,
banana,,,,,48.0,4.9,,unknown
maize,59,,,,,,165,unknown
millet,,66,26,,,,114,
unknown,,66,,,86.2,,,unknown
N/A,94,,26,21.0,35.8,,,2226.8
wheat,,,,,,,,
wheat,,,26,,,7.8,,
N/A,,,,25.8,52.0,5.1,,
sugarcane,,,,38.5,77.1,,,
maize,82,,46,,35.1,,216,
barley,105,28,,,,,211,
wheat,,31,27,17.1,,,,
N/A,69,30,,39.9,,,,
millet,112,,64,,52.3,,,unknown
soybean,,,,,,,,
millet,,62,,,66.1,6.3,,3185.4
cotton,,,,,,8.3,,
groundnut,,,31,,,5.0,,
wheat,,41,,25.6,,,,unknown
N/A,,66,67,,55.9,8.2,154,unknown
rice,,,68,,,7.0,124,
,,,,,,,,
N/A,77,57,,,,,,unknown
unknown,78,,76,,,6.6,,
soybean,99,,67,38.4,79.9,,,3751.1
sugarcane,,,,,,6.1,,
,,,41,,85.7,,,
soybean,,73,,,,,,
N/A,,,,,,,,unknown
millet,,,,,37.6,,,
,,,54,,,,,unknown
barley,,,,,,7.4,257,unknown
millet,65,,38,,92.4,,,
groundnut,57,,,,95.4,,,
soybean,,51,,,,,,
rice,71,,,15.8,,,,unknown
banana,84,,47,,33.5,,,
millet,,,,,,7.8,,
barley,,,,34.5,,,,
groundnut,72,,52,32.5,55.8,,,1990.6
groundnut,,,,,,8.1,198,
N/A,121,,,36.6,,7.6,83,3300.1
soybean,,,22,,,,234,
groundnut,,50,,,,,56,
cotton,,66,,,,,85,
millet,,,,,,,,unknown
maize,,,,32.7,,,,
maize,57,,,,,,,
soybean,,50,,33.9,,,127,2518.5
barley,,,,,,6.4,111,
soybean,,56,37,,,,,2342.6
groundnut,56,24,,,,,,
wheat,,,41,,,,260,
groundnut,,,,16.7,,,,1507.2
sugarcane,,,,,,8.4,,
sugarcane,,22,,,,,147,
cotton,,,34,,,7.9,,
N/A,117,,53,,,,229,
,,53,,,,,,
sugarcane,93,,,25.4,61.9,5.3,,unknown
banana,,,68,,34.7,,169,4318.9
millet,91,,,,,,,unknown
soybean,,21,33,,90.8,,148,unknown
wheat,,46,,34.8,87.8,,,
groundnut,84,,,,,7.0,200,
rice,,,,19.6,,,,
groundnut,84,44,,,,,,
sugarcane,,,,,,,,5739.9
sugarcane,,,,18.0,,8.1,,unknown
cotton,,74,64,,,,,unknown
wheat,,35,29,,33.1,,,
maize,51,,,,35.3,5.0,,
banana,69,50,,,40.1,7.1,,
barley,,,,,64.7,5.7,,
groundnut,117,,,34.4,,,91,1681.9
soybean,,,29,,,7.4,257,
wheat,,,,38.2,,,72,3356.0
cotton,,34,,32.0,,,,
N/A,63,,44,29.0,,,,unknown
unknown,,73,,,40.9,,187,
N/A,74,,52,,72.7,,224,
cotton,,,,,,,,
rice,,,38,18.3,51.3,,,unknown
unknown,,71,50,,90.3,5.5,,unknown
banana,,,,25.4,,,138,unknown
barley,,,,,60.9,,,
sugarcane,,62,,,,,253,3680.1
maize,,29,,,,,229,3197.8
banana,,,,,,6.9,,
wheat,,60,,26.3,77.2,7.6,165,3318.9
N/A,62,,40,35.6,72.8,,165,
N/A,85,70,79,27.6,,,,
wheat,,57,,22.7,,,224,
maize,,,,,82.8,,,
N/A,,,,,,,,unknown
groundnut,,,,,96.8,,,
sugarcane,,,,,,,,unknown
banana,,76,70,,,,,
soybean,,34,28,,,7.7,154,2770.6
,,,47,,,6.5,,
maize,,,49,,73.2,5.6,,unknown
N/A,87,,,28.2,85.6,,260,
banana,,62,,37.1,,7.8,,
,,,56,,,,75,
soybean,,,,,,,,
wheat,103,58,,,,,131,
groundnut,125,75,,,50.7,7.7,,
N/A,,,,,,5.3,182,2743.2
maize,,,78,,39.5,,102,unknown
,,,,,,6.1,200,
millet,,,38,29.4,35.0,,,
millet,,,22,39.2,,,,
soybean,85,,,15.3,86.6,,,unknown
sugarcane,,52,,30.4,,6.4,,
N/A,,61,40,,54.3,,100,
wheat,,68,,,48.9,6.7,,
maize,45,77,79,,,,,4124.1
millet,,,25,21.2,,,,
N/A,,53,21,,,,178,
rice,,,46,,45.0,7.4,,
soybean,60,,,,,6.3,137,
barley,103,,,33.8,,,229,
sugarcane,123,,,25.8,83.3,,163,
,129,,,,,,,
sugarcane,77,39,,,,,136,
soybean,104,38,55,29.4,,,,
banana,120,,,,,,293,
barley,76,,,,,,,2497.1
,,,71,33.5,43.8,,,unknown
maize,56,65,,19.3,72.2,7.4,189,3583.9
groundnut,,58,,26.6,89.1,,209,1994.4
sugarcane,,43,,,,,280,5606.0
N/A,,52,,,100.0,,,
maize,65,,43,,,,52,unknown
millet,,55,,36.1,,,146,
sugarcane,,,80,,,,271,5762.7
wheat,,48,,,,8.3,257,unknown
groundnut,,,,,,,,
sugarcane,,,,,,,196,4618.9
N/A,,,40,34.4,,,,3886.2
wheat,,,,37.0,,,290,
sugarcane,,37,,,,,,
millet,,,31,21.9,,,,unknown
groundnut,,57,30,23.8,52.7,,,
sugarcane,,43,,,,,176,
cotton,,,,,,,,2589.7
groundnut,105,,49,,,,,
unknown,83,,,28.4,,,,
barley,,,,16.6,,,,
sugarcane,,,,,,,,4300.9
maize,,,37,,43.1,,,unknown
banana,,71,,,64.0,5.4,,4739.7
cotton,69,,,17.7,,,,
soybean,45,30,,,,,241,
,111,,,20.2,,,279,2766.8
soybean,,,,,,,,unknown
cotton,,,59,27.7,,5.1,168,
sugarcane,,44,,,,6.5,,5587.5
soybean,,,,,,,263,unknown
maize,,21,,,,5.4,,unknown
soybean,,,,,,6.8,,unknown
sugarcane,72,,,15.7,73.7,4.9,,unknown
millet,,,,,,6.6,,
groundnut,128,59,,,,,,1466.1
soybean,49,,31,,,,229,unknown
unknown,84,,55,21.8,92.4,,,3000.6
unknown,,,67,18.9,,4.6,,3803.8
maize,43,,,,,4.6,278,3351.8
millet,,,,,,,,
millet,114,,48,37.8,,,,
N/A,93,,52,,86.8,,220,4119.8
soybean,121,26,,28.4,,5.1,,3659.7
unknown,,62,,31.4,,,,
maize,94,,,21.5,,5.6,,unknown
unknown,,70,25,19.2,,4.7,,
banana,51,38,,,,8.1,89,3904.0
N/A,71,28,,,89.4,,,
sugarcane,,,,25.4,,7.3,,
unknown,,33,77,,,,288,unknown
sugarcane,47,,,22.4,,,,
unknown,,67,,39.2,,,,
soybean,91,,,,85.6,,,
sugarcane,,,,,87.9,,182,
N/A,43,,48,,74.5,,,2356.7
N/A,,,,29.1,,,,unknown
maize,,,42,,75.2,,,
maize,,,,33.9,,,,3066.2
groundnut,,34,80,,,,,unknown
rice,109,,,,,6.3,223,4522.3
N/A,,59,35,,97.8,,153,
barley,40,,,,,7.2,,
unknown,,49,,,,6.9,277,4267.7
barley,,79,,30.9,,,60,
groundnut,107,,53,,,7.3,,1563.1
maize,86,,43,,,5.6,227,3940.3
wheat,55,70,,36.8,78.2,7.9,,2753.4
unknown,58,,29,,,6.5,241,
barley,,67,,36.3,,,,
soybean,,,,,82.0,,,unknown
soybean,,56,,,,8.0,52,unknown
banana,,,37,,,8.3,,
,115,,,16.5,,4.8,,2711.2
rice,,,,,,,,
groundnut,113,39,,,,,,unknown
N/A,,24,54,,,5.5,195,2504.2
cotton,,,,,38.7,,260,unknown
unknown,57,,34,,,,,
rice,,,35,30.9,81.2,,,3194.6
rice,80,64,39,33.5,,6.9,,
unknown,99,,,,,7.5,,
wheat,,,,,34.5,,152,unknown
millet,,,,,44.5,,,
groundnut,,49,,,,,,unknown
sugarcane,,37,,24.0,,,,unknown
wheat,,,63,,60.2,,,
maize,,,,,88.7,7.7,,
banana,,43,,29.3,,7.9,,
N/A,57,,24,,,7.1,,3713.6
,,,45,,,,,
soybean,100,,54,25.6,92.0,,,3249.7
N/A,,,72,,73.2,,,2094.9
,,,40,,94.2,,,unknown
wheat,114,24,,,57.8,,175,unknown
soybean,,,,,,5.5,164,
,,76,43,,,7.2,153,
,106,,,,,7.9,,1982.2
millet,48,,,,,,73,
sugarcane,,,59,21.1,,,292,4663.8
,,,21,19.3,,,,
sugarcane,106,,,18.7,43.7,,,
wheat,,,47,,,,,2654.8
banana,,44,,30.2,,,244,
cotton,,,,,,,,2277.6
groundnut,102,,61,,,,155,1908.2
maize,,,24,,34.9,7.3,253,unknown
N/A,,29,,39.3,,6.3,,3063.9
,88,,,22.5,,,,
groundnut,73,,,,,,,unknown
N/A,,,76,,57.8,8.0,,3749.5
groundnut,69,40,,,31.6,4.9,,1414.5
wheat,,,,,,5.8,,
barley,,47,,16.1,,,,3199.2
rice,,47,,,,7.8,,2921.9
barley,,64,32,,84.2,,,unknown
unknown,,55,,,94.1,,,unknown
unknown,105,65,,18.5,,,,2589.6
rice,,67,,,,6.1,,
rice,,73,59,,,8.4,,3773.2
soybean,,,49,32.5,62.4,6.6,114,
soybean,,,,35.5,,4.7,,unknown
,,,,,97.3,7.6,,
,49,,,,96.0,5.6,,
groundnut,,,35,,61.2,,143,
sugarcane,60,70,42,,70.3,8.1,156,3196.3
soybean,,,43,,,,,
,,46,46,24.6,,,,
groundnut,,,,24.3,,,,1552.8
maize,,72,,,,5.8,,3518.2
barley,118,,,17.5,,,,unknown
soybean,,,,,,,63,3029.8
wheat,,39,,,80.2,7.0,,
millet,,79,,,77.2,7.6,,
banana,,,64,37.3,,,,
groundnut,121,74,47,16.9,45.2,,279,unknown
N/A,,,,,,8.1,,3946.0
unknown,,,,,,,251,
groundnut,,59,,29.1,78.9,,,
N/A,,,44,,,7.9,65,1980.9
wheat,,,,,79.2,,,
sugarcane,40,66,,39.8,,,,
millet,67,,,36.6,,7.4,,
N/A,,,,39.2,,5.0,265,2663.1
N/A,,,,28.6,32.6,,,2828.4
N/A,43,,,,,,201,
banana,,23,,15.2,33.1,4.9,,2889.4
wheat,106,54,,,43.9,,131,
unknown,,,,,,7.2,165,3963.6
millet,,,,,,6.5,113,
banana,,36,72,,,,141,
banana,,53,,25.4,,,,
banana,,59,78,,95.6,7.5,294,
N/A,,,,,52.0,,,unknown
unknown,,,45,,,,,2592.3
banana,,,65,,63.9,,,
,85,,,,57.9,,110,4281.6
cotton,70,55,34,,80.4,,,unknown
groundnut,,23,,,,,225,
rice,52,,60,16.7,,5.3,,3536.9
millet,,,29,,96.1,,,
groundnut,127,32,60,,35.8,,,
banana,,73,,,79.2,6.7,52,
banana,99,,75,37.7,,,,
millet,84,57,,,,,239,unknown
maize,,46,,36.7,,,,unknown
sugarcane,67,,46,,,,228,
millet,45,,78,,,,,
wheat,,68,63,,,,,
unknown,,,75,,53.3,5.2,,
barley,94,,32,27.3,,,,unknown
N/A,,,,25.2,,5.2,,
barley,,49,,15.6,,,,unknown
millet,,,39,,73.2,,236,unknown
cotton,,,,21.5,,7.8,,
N/A,,43,,,62.8,6.7,,1993.8
unknown,,,57,,73.7,5.3,,
maize,,,,,,,176,
soybean,68,,,,,5.9,,unknown
soybean,,80,,36.0,,5.3,,
sugarcane,,60,,,47.4,,225,4037.1
,,,73,24.7,,6.0,,
unknown,,78,,,,,,
soybean,,,,18.9,39.0,4.5,,2904.7
sugarcane,,32,,,,,,
wheat,,,,15.7,,,,
sugarcane,,,,18.6,72.3,5.3,,
soybean,49,,,,61.0,,,
wheat,130,,,39.1,,6.3,126,3105.8
millet,,,27,39.6,42.7,,275,
wheat,63,74,,,74.1,,,
N/A,116,59,,,,,,4954.2
rice,105,,62,,,,,unknown
,84,33,,,,,,
sugarcane,,,45,24.5,91.3,,246,
sugarcane,,56,,,,7.4,,5446.4
maize,,,48,,40.2,,,2731.4
sugarcane,,,,,60.2,,,
banana,42,63,,,82.8,7.0,294,
rice,,42,,,,,,3756.8
rice,,,,,,4.5,,
maize,53,36,,37.8,71.6,,,
millet,,55,24,,44.9,,,
sugarcane,43,,,37.0,,5.2,,
soybean,,,,,91.5,,,
unknown,80,,,,,7.8,249,2841.2
wheat,96,58,,38.4,,,,
wheat,,,27,20.0,,,,
barley,88,,,31.2,,6.2,298,
N/A,104,,,,,5.7,,
banana,,,,,,,,3621.0
groundnut,,,,,,8.4,,
,,55,,,,,,1829.5
banana,,21,,,,5.7,,4856.8
wheat,110,,,,,7.4,199,
cotton,,,28,,67.7,7.7,,2868.4
banana,,,27,,,,236,
barley,,,41,39.0,40.7,8.3,188,unknown
millet,95,,24,38.6,,,77,unknown
groundnut,,48,,35.8,81.4,,,
unknown,,,,,,,,
barley,,,,,,,,2363.8
cotton,130,,27,19.1,,5.0,174,unknown
soybean,,,32,,,,,unknown
millet,,53,,,69.2,,,
soybean,,,,15.7,,5.2,,
barley,73,,72,,,,,3321.6
cotton,,,,,76.2,4.7,217,2451.9
barley,,,22,,,,,2082.0
cotton,,,,,72.5,,139,unknown
wheat,83,,,,,7.4,,
maize,112,,,15.2,,6.7,,
rice,73,,80,,46.6,,109,unknown
cotton,92,57,,,89.3,,98,
wheat,,29,21,,,,,3689.2
millet,,,,21.8,,7.2,,
sugarcane,,,,,89.1,4.7,129,
,60,,56,,,,141,
groundnut,,,,22.0,74.8,5.3,,
N/A,,33,,32.6,,6.0,289,
soybean,,65,,,,,,
groundnut,,,,,31.7,,,2323.3
wheat,103,,,22.1,98.7,,154,unknown
maize,,,,30.9,,,,2341.0
wheat,,,,,,5.7,,
soybean,,,,,,,,
groundnut,,62,,,,,,
barley,,35,28,,,,,
cotton,125,39,,,79.5,,,2689.4
groundnut,,,,34.1,,,,
cotton,93,,28,,,5.4,181,2595.4
maize,48,,71,,,,,unknown
,,,,29.6,,,,4947.4
groundnut,,,,,,,,1825.3
barley,,,,25.4,,,,
wheat,111,66,,,,,216,2786.5
,40,73,,26.1,,6.1,,
unknown,,29,58,24.8,,,,
rice,,,,,,,,
soybean,114,,,,99.1,,,
,126,67,,18.4,,,110,3083.3
N/A,,,52,,75.7,,275,2482.5
maize,75,,,31.6,89.4,,,
sugarcane,99,,26,,98.7,5.2,,3750.7
cotton,,58,,28.4,,4.9,144,unknown
banana,77,,,21.0,,,232,
,,62,,,72.8,,,3756.2
rice,,62,,29.4,,7.9,,
soybean,,45,,,58.7,,,unknown
N/A,,64,31,17.1,,,82,unknown
cotton,,,,,66.4,7.6,90,
maize,,46,,15.3,,,244,
rice,,,,17.7,,,254,3110.8
soybean,,,,,,,,2862.8
cotton,,31,,,,,,unknown
maize,82,53,,,50.5,,,
groundnut,,,30,,76.7,,,
barley,51,,,,,,,
soybean,88,54,,,,5.3,,
groundnut,,,30,22.3,44.0,,165,
banana,115,,35,,68.6,,,unknown
unknown,,,22,34.2,54.5,,252,
unknown,,,,,,,,3467.4
N/A,78,32,60,37.4,,,,2351.5
barley,121,,,24.8,,,,2414.9
,,,,15.2,,5.8,,
barley,,39,58,,,,,
banana,,,,35.6,,6.2,,
maize,128,52,,30.3,59.7,,,unknown
groundnut,,37,,19.7,,,,unknown
cotton,,25,,34.8,,,,
soybean,,41,,,,7.4,,
soybean,,,27,27.6,,,191,2738.8
unknown,,,,,53.0,,,
N/A,102,,,,,,68,
,,64,20,39.2,,,,2302.3
banana,,,59,,,,86,
rice,129,,55,,,5.9,,unknown
cotton,,56,,,,,,
soybean,,,,30.3,,6.5,,
millet,,33,,,78.1,,192,
millet,,,29,,72.8,7.0,,
barley,,,20,,35.5,5.1,,
barley,,37,,,,,131,
rice,,,,33.8,,,91,unknown
maize,,,,33.0,,,,
cotton,,,,16.4,,7.8,,1862.6
rice,,,45,,96.0,,,
rice,92,47,,,,5.6,,3241.9
rice,,,,,,,102,
unknown,119,32,,,,,189,
unknown,,45,21,34.8,,,128,
rice,58,70,59,,,7.6,,
